Informations,Latitude,Longitude
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:13:08 ; Vitesse : 0.0,48.6713,6.17822,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:13:13 ; Vitesse : 0.0,48.6733,6.17911,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:13:15 ; Vitesse : 3.24641,48.6735,6.17946,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:13:15 ; Vitesse : 3.24641,48.6735,6.17946,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:14:52 ; Vitesse : 0.0,48.6733,6.17911,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:14:56 ; Vitesse : 0.0,48.6711,6.17776,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:14:57 ; Vitesse : 9.37712,48.673,6.17931,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:14:57 ; Vitesse : 9.37712,48.673,6.17931,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:14:58 ; Vitesse : 8.92683,48.6732,6.17908,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:14:58 ; Vitesse : 8.92683,48.6732,6.17908,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:16:36 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:16:36 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:16:38 ; Vitesse : 0.0,48.6733,6.17913,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:16:39 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:16:58 ; Vitesse : 0.0,48.6733,6.17912,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:16:59 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:17 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:18 ; Vitesse : 0.0,48.6733,6.17913,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:19 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:23 ; Vitesse : 0.0,48.6733,6.17909,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:25 ; Vitesse : 0.0,48.6733,6.17881,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:38 ; Vitesse : 7.45784,48.6731,6.1788,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:17:38 ; Vitesse : 7.45784,48.6731,6.1788,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:18:03 ; Vitesse : 0.0,48.6733,6.17911,
Numéro de vélo : 353621072289818 ; Date : 21/05/2016 02:18:25 ; Vitesse : 0.0,48.6733,6.17888,
